"scenario","particle_id","rep","eff_name","efficacy","doses_B","n_prevented_hcw"
"DRC",51,8,"obv_20",0.2,375,66
"DRC",51,9,"obv_20",0.2,46,2
"DRC",51,10,"obv_20",0.2,40,7
"DRC",52,1,"obv_20",0.2,316,70
"DRC",52,2,"obv_20",0.2,336,64
"DRC",52,3,"obv_20",0.2,34,9
"DRC",52,4,"obv_20",0.2,320,61
"DRC",52,5,"obv_20",0.2,345,50
"DRC",52,6,"obv_20",0.2,16,3
"DRC",52,7,"obv_20",0.2,178,32
"DRC",52,8,"obv_20",0.2,318,57
"DRC",52,9,"obv_20",0.2,15,3
"DRC",52,10,"obv_20",0.2,83,25
"DRC",53,1,"obv_20",0.2,54,10
"DRC",53,2,"obv_20",0.2,51,7
"DRC",53,3,"obv_20",0.2,42,7
"DRC",53,4,"obv_20",0.2,154,35
"DRC",53,5,"obv_20",0.2,172,37
"DRC",53,6,"obv_20",0.2,4,1
"DRC",53,7,"obv_20",0.2,153,29
"DRC",53,8,"obv_20",0.2,71,9
"DRC",53,9,"obv_20",0.2,13,2
"DRC",53,10,"obv_20",0.2,13,2
"DRC",54,1,"obv_20",0.2,65,8
"DRC",54,2,"obv_20",0.2,77,21
"DRC",54,3,"obv_20",0.2,71,15
"DRC",54,4,"obv_20",0.2,46,15
"DRC",54,5,"obv_20",0.2,239,56
"DRC",54,6,"obv_20",0.2,239,56
"DRC",54,7,"obv_20",0.2,221,44
"DRC",54,8,"obv_20",0.2,111,22
"DRC",54,9,"obv_20",0.2,60,21
"DRC",54,10,"obv_20",0.2,25,3
"DRC",55,1,"obv_20",0.2,33,7
"DRC",55,2,"obv_20",0.2,48,7
"DRC",55,3,"obv_20",0.2,41,4
"DRC",55,4,"obv_20",0.2,66,12
"DRC",55,5,"obv_20",0.2,66,12
"DRC",55,6,"obv_20",0.2,343,66
"DRC",55,7,"obv_20",0.2,68,8
"DRC",55,8,"obv_20",0.2,71,15
"DRC",55,9,"obv_20",0.2,42,8
"DRC",55,10,"obv_20",0.2,136,24
"DRC",56,1,"obv_20",0.2,189,32
"DRC",56,2,"obv_20",0.2,56,10
"DRC",56,3,"obv_20",0.2,6,1
"DRC",56,4,"obv_20",0.2,11,2
"DRC",56,5,"obv_20",0.2,125,27
"DRC",56,6,"obv_20",0.2,60,17
"DRC",56,7,"obv_20",0.2,183,34
"DRC",56,8,"obv_20",0.2,323,55
"DRC",56,9,"obv_20",0.2,50,9
"DRC",56,10,"obv_20",0.2,74,12
"DRC",57,1,"obv_20",0.2,56,9
"DRC",57,2,"obv_20",0.2,24,4
"DRC",57,3,"obv_20",0.2,2,1
"DRC",57,4,"obv_20",0.2,258,47
"DRC",57,5,"obv_20",0.2,181,38
"DRC",57,6,"obv_20",0.2,181,38
"DRC",57,7,"obv_20",0.2,5,0
"DRC",57,8,"obv_20",0.2,14,3
"DRC",57,9,"obv_20",0.2,369,69
"DRC",57,10,"obv_20",0.2,37,8
"DRC",58,1,"obv_20",0.2,126,21
"DRC",58,2,"obv_20",0.2,67,18
"DRC",58,3,"obv_20",0.2,70,9
"DRC",58,4,"obv_20",0.2,15,3
"DRC",58,5,"obv_20",0.2,60,6
"DRC",58,6,"obv_20",0.2,60,6
"DRC",58,7,"obv_20",0.2,175,41
"DRC",58,8,"obv_20",0.2,338,74
"DRC",58,9,"obv_20",0.2,359,92
"DRC",58,10,"obv_20",0.2,359,92
"DRC",59,1,"obv_20",0.2,226,37
"DRC",59,2,"obv_20",0.2,249,48
"DRC",59,3,"obv_20",0.2,98,23
"DRC",59,4,"obv_20",0.2,92,16
"DRC",59,5,"obv_20",0.2,41,11
"DRC",59,6,"obv_20",0.2,30,6
"DRC",59,7,"obv_20",0.2,123,13
"DRC",59,8,"obv_20",0.2,18,3
"DRC",59,9,"obv_20",0.2,32,3
"DRC",59,10,"obv_20",0.2,5,0
"DRC",60,1,"obv_20",0.2,276,69
"DRC",60,2,"obv_20",0.2,41,5
"DRC",60,3,"obv_20",0.2,301,53
"DRC",60,4,"obv_20",0.2,10,1
"DRC",60,5,"obv_20",0.2,10,1
"DRC",60,6,"obv_20",0.2,122,30
