"scenario","policy","dpc","stockpile_doses","deaths_averted_med","deaths_averted_lo","deaths_averted_hi","pct_averted_med","pct_averted_lo","pct_averted_hi","supply_ratio_med"
"WestAfrica","A",0,93000,424.063033749322,209.355390933524,670.472476175505,82.3423366503537,78.451674024836,82.3423366503537,4.04172175424017
"WestAfrica","A",0,94000,424.886457115825,209.355390933524,672.531034591764,82.3423366503537,79.1177812926178,82.3423366503537,4.08518112794168
"WestAfrica","A",0,95000,425.709880482329,209.355390933524,678.500853998915,82.3423366503537,80.1169421942905,82.3423366503537,4.12864050164318
"WestAfrica","A",0,96000,427.768438898588,209.355390933524,683.441394197936,82.3423366503537,80.6165226451269,82.3423366503537,4.17209987534469
"WestAfrica","A",0,97000,429.415285631595,209.355390933524,688.793646080209,82.3423366503537,81.5551377110273,82.3423366503537,4.2155592490462
"WestAfrica","A",0,98000,431.473844047853,209.355390933524,696.822023903618,82.3423366503537,82.2817908145814,82.3423366503537,4.25901862274771
"WestAfrica","A",0,99000,433.120690780861,209.355390933524,700.321573211258,82.3423366503537,82.3423366503537,82.3423366503537,4.30247799644921
"WestAfrica","A",0,1e+05,435.179249197119,209.355390933524,701.76256410264,82.3423366503537,82.3423366503537,82.3423366503537,4.34593737015072
"WestAfrica","A",5,1000,6.39691833261723,4.26461222174482,8.52922444348964,1.09583203526937,0.608284304534859,2.56384257967817,0.0434593737015072
"WestAfrica","A",5,2000,12.7938366652345,9.06230097120775,17.0584488869793,2.10658211991668,1.22986818502419,4.7106417548633,0.0869187474030144
"WestAfrica","A",5,3000,19.1907549978517,13.3269131929526,25.5876733304689,3.22014608093607,1.84480227753628,7.37891417462387,0.130378121104522
"WestAfrica","A",5,4000,25.5876733304689,17.5915254146974,33.1840138504519,4.33091824257827,2.46716790923304,10.2383625158584,0.173837494806029
"WestAfrica","A",5,5000,31.4515151353681,22.7890215599489,41.0468926342939,5.44812263584627,3.1395919368542,12.7842359019415,0.217296868507536
"WestAfrica","A",5,6000,37.0488186764081,25.9874807262575,49.5761170777836,6.68284537914016,3.69648845680124,14.8304702819515,0.260756242209043
"WestAfrica","A",5,7000,43.4457370090254,29.3192090244957,57.7055341254846,7.70658438102425,4.28172448780066,16.8328881386362,0.30421561591055
"WestAfrica","A",5,8000,50.1091936055017,33.1840138504519,66.1014894370447,8.68853890905465,4.92890770662112,19.1482846151489,0.347674989612058
"WestAfrica","A",5,9000,54.3738058272465,37.1820878083377,73.1647534293096,9.59917841764969,5.432330167888,21.4027733401964,0.391134363313565
"WestAfrica","A",5,10000,59.7045711044275,40.3805469746463,80.627824817363,10.5438271586996,6.03865635331471,23.8739185423993,0.434593737015072
"WestAfrica","A",5,11000,65.3018746454676,43.0459296132368,89.2903183927822,11.5619190845656,6.64860990776489,26.5800611837301,0.478053110716579
"WestAfrica","A",5,12000,70.0995633949305,47.3105418349816,95.2874293296109,12.5349506586913,7.22942594459337,28.961715101129,0.521512484418086
