"scenario","particle_id","arm","n_hcw_deaths","hcw_days_lost","prevented_hcw","counterfactual_hcw","baseline_days_lost","pct_hcw_deaths_averted","pct_days_lost_averted"
"DRC",124,"optimistic_hi",13,7849.76493484517,51,64,37745.7052862373,79.6875,79.2035547479694
"DRC",124,"optimistic_lo",1,90.0560809832029,5,6,617.068501830612,83.3333333333333,85.4058211177462
"DRC",124,"optimistic_mid",4,687.175178373586,11,15,2805.67781353046,73.3333333333333,75.5076946091364
"DRC",124,"with_conflict_hi",51,19624.0029117259,16,67,28816.0561294164,23.8805970149254,31.8990675767979
"DRC",124,"with_conflict_lo",17,2481.40549280211,7,24,3906.16606305015,29.1666666666667,36.4746543605855
"DRC",124,"with_conflict_mid",50,34173.5193372376,24,74,45693.7704092287,32.4324324324324,25.2118636059511
"DRC",125,"cov_conflict_hi",52.1,317440.564798562,247,768,451522.433633762,32.1614583333333,29.6955054383757
"DRC",125,"cov_conflict_lo",65.6,220227.116583979,189,845,297457.801441216,22.3668639053254,25.9635768445291
"DRC",125,"cov_conflict_mid",69.8,251272.442392647,260,958,361389.310265074,27.1398747390397,30.4704275263865
"DRC",125,"dpc_conflict_hi",42.3,255977.040815756,615,1038,609387.491154482,59.2485549132948,57.9943722949073
"DRC",125,"dpc_conflict_lo",18.9,101673.460019736,167,356,174628.923907524,46.9101123595506,41.777422809077
"DRC",125,"dpc_conflict_mid",33.3,146460.685205373,402,735,294368.75224038,54.6938775510204,50.2458450189803
"DRC",125,"no_pep",117,382500.895666802,0,1170,382500.895666802,0,0
"DRC",125,"optimistic_hi",5,1029.30373777018,42,47,8160.38570950793,89.3617021276596,87.3865798209648
"DRC",125,"optimistic_lo",15,40514.1716266937,363,438,230833.372199773,82.8767123287671,82.4487372685302
"DRC",125,"optimistic_mid",13.3,71849.0677653513,708,841,419177.065141242,84.1854934601665,82.8594945333801
"DRC",125,"with_conflict_hi",32.1,113305.221315146,158,479,188491.818355028,32.9853862212944,39.8885201999942
